太好	感	感	太	手	1	1
均衡	功能	功能	null	功能	1	3
太好	按键	感	太	手	1	2
符合	小	小	null	小	1	2
优惠	张	null	null	张	1	1
伤	null	null	null	null	-1	2
满足	使用	null	null	使用	1	1
优点	点	点	优点	点	1	1388
不好	感	感	null	感	-1	1
经用	电	电	太	用	1	1
足够	拍	null	null	人性	1	3
用心	使用	null	null	使用	1	1228
难	小	小	太	小	-1	7
开心	开	null	null	null	1	1
严重	货	全	null	全	-1	1
粗心	包	null	太	吧	-1	1
好用	相机	null	null	相机	1	3
鲜艳	拍	拍摄	拍摄	拍	1	2
清晰	素	像	太	像素	1	4
赠送	套餐	像	null	中	1	1
怎么样	null	null	null	质	-1	1
不错	机	全	null	机身	1	2
均衡	产品	null	null	佳	1	4
保证	货	null	null	货	1	2
便宜	null	null	null	价格	1	27
舒服	高	高	null	高	1	1
喜欢	品牌	null	null	佳	1	1
深沉	null	null	null	沉	1	1
可爱	null	null	null	null	1	1
不好	null	null	null	null	-1	3
简单	简单	操作比	null	操作	-1	2
清晰	null	很清	null	效果	1	1
清晰	拍	很清	null	拍	1	3
不错	货	不错	null	货	1	3
问题	大	问题	null	大	-1	15
清晰	null	成像	null	清	1	22
出众	null	null	null	性能	1	1
模糊	null	模糊	null	处	-1	1
有用	功能	功能	null	功能	1	8
玲珑	小	小	null	小	1	24
较好	null	null	null	颜色	1	6
便宜	吧	2	null	吧	1	1
傻瓜	null	设置	null	null	-1	1
清楚	写	null	null	说	1	1
提高	照片	高	null	高	1	1
满意	外	null	null	很	1	4
专门	null	2	null	的	1	1
顺手	null	null	太	手	1	2
倒霉	了	null	null	null	-1	3
便宜	点	点	null	价格	1	2
郁闷	null	null	null	闷	-1	9
要好	相机	null	null	相机	1	1
不错	照片	不错	null	错	1	16
到位	按键	null	null	null	1	2
方便	相	null	null	拍	1	2
远景	拍	null	null	拍	1	1
难	null	null	null	null	-1	3
一如既往	高	高	null	高	1	1
方便	感	感	null	感	1	1
方便	简单	null	null	操作	1	2
满意	null	null	null	画面	1	1
简便	操作	像	null	操作	1	2
高速	卡	高	null	高	1	3
提升	功能	功能	null	功能	1	2
支持	高	高	null	高	1	1
优惠	相机	null	null	相机	1	2
满意	null	null	null	效果	1	5
不错	防抖	不错	null	错	1	8
突出	机	感	null	机身	1	1
合算	拍	拍摄	拍摄	拍	1	2
技术	高	高	null	高	1	3
玲珑	小	小	null	外观	1	1
睁大	大	大	null	大	-1	3
问题	货	问题	null	货	-1	3
问题	东西	问题	null	东西	-1	1
优点	点	点	优点	说	1	4
省事	事	null	null	null	1	1
方便	小	小	null	小	1	10
磨坏	相机	放	null	相机	-1	6
迅速	焦	对焦	null	焦	1	1
实用	小	小	null	小	1	6
安全	很快	全	null	全	1	1
信赖	null	null	null	佳	1	1
强大	模式	模式	拍摄	中	1	6
清楚	高	像	null	高	1	1
生产	机	机子	null	手	1	1
郁闷	null	啊	null	闷	-1	2
好看	外形	null	null	外形	1	2
靓丽	图片	图	null	颜色	1	3
喜欢	null	null	太	颜色	1	2
要好	其他	感	null	佳	1	1
好用	快捷键	快	null	很	1	1
清晰	SONY	清晰	null	SONY	1	1
基本	功能	功能	null	使用	1	1
鲜艳	null	null	null	null	1	1
确实	很多	高	下	下	1	1
傻瓜	机	卡片机	null	卡	-1	1
不错	照片	不错	null	效果	1	3
较好	null	null	null	价	1	1
不到	点	点	null	点	-1	1
漂亮	机	小	null	机身	1	1
清晰	高	高	太	高	1	1
方便	携	null	null	使用	1	2
方便	null	null	null	用	1	8
兴趣	感	感	null	感	1	1
要好	null	null	null	null	1	3
自然	高	高	太	高	1	2
结实	机	全	null	机身	1	2
简捷	操作	null	null	操作	1	1
横着	功能	功能	null	功能	-1	3
精确	按键	快	null	快	1	3
新手	玩	null	null	手	-1	3
道理	4	null	null	null	1	5
靓丽	小	小	null	小	1	4
值得	吧	null	null	手	1	2
享受	过	null	null	买	1	2
好看	小	小	null	小	1	2
较好	色彩	还原	null	色彩	1	3
低档	null	低	null	低	-1	1
有用	null	null	null	用	1	6
不错	功能	功能	null	错	1	10
成果	null	null	null	便宜	1	2
喜欢	说	null	null	说	1	3
所谓	套餐	null	null	买	-1	1
果断	null	null	null	手	1	2
清明	货	null	null	货	1	2
时尚	小	时尚	时	外观	1	5
傻瓜	null	null	null	的	-1	2
优势	话	null	null	说	1	2
舒服	null	舒服	null	看	1	3
熟悉	null	全	null	全	1	1
噪音	焦	变焦	时	焦	-1	1
便宜	相	null	null	价格	1	2
银色	了	null	null	买	1	1
解决	下	下	下	下	1	1
适合	说	null	null	佳	1	1
遗憾	小	小	时	小	-1	1
均衡	null	配置	null	配	1	2
保障	null	null	null	质	1	3
防水	差	差	太	太差	1	2
平衡	色彩	白平衡	null	平衡	1	1
清晰	机	屏	null	手	1	1
方便	操作	null	太	操作	1	3
清晰	图像	像	null	说	1	1
时尚	点	时尚	时	强	1	1
清楚	清楚	成像	null	清	1	2
到位	吧	null	null	吧	1	1
出众	null	null	null	价	1	4
